movie,director,m_year,crit_rank,critic,crit_org,crit_cn,link,dir_cn
The Social Network,David Fincher,2010,10,Carrie Rickey,Freelance film critic,US,/name/nm0000399/,"Denver, Colorado, USA"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,1,Sam Rigby,BBC Culture,UK,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
Brokeback Mountain,Ang Lee,2005,2,Sam Rigby,BBC Culture,UK,/name/nm0000487/,"Pingtung, Taiwan"
The Dark Knight,Christopher Nolan,2008,3,Sam Rigby,BBC Culture,UK,/name/nm0634240/,"London, England, UK"
Finding Nemo,Andrew Stanton and Lee Unkrich,2003,4,Sam Rigby,BBC Culture,UK,,
Whiplash,Damien Chazelle,2014,5,Sam Rigby,BBC Culture,UK,/name/nm3227090/,"Providence, Rhode Island, USA"
Shame,Steve McQueen,2011,6,Sam Rigby,BBC Culture,UK,/name/nm0000537/,"Beech Grove, Indiana, USA"
Revolutionary Road,Sam Mendes,2008,7,Sam Rigby,BBC Culture,UK,/name/nm0005222/,"Reading, Berkshire, England, UK"
Inside Llewyn Davis,Joel and Ethan Coen,2013,8,Sam Rigby,BBC Culture,UK,,
Weekend,Andrew Haigh,2011,9,Sam Rigby,BBC Culture,UK,/name/nm0354091/,"Harrogate, North Yorkshire, England, UK"
Persepolis,Vincent Paronnaud and Marjane Satrapi,2007,10,Sam Rigby,BBC Culture,UK,,
In the Mood for Love,Wong Kar-wai,2000,1,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,/name/nm0939182/,"Shanghai, China"
Son of Saul,László Nemes,2015,2,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,/name/nm1841577/,"Budapest, Hungary"
The Hurt Locker,Kathryn Bigelow,2008,3,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,/name/nm0000941/,"San Carlos, California, USA"
The Beat That My Heart Skipped,Jacques Audiard,2005,4,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,/name/nm0002191/,"Paris, France"
The Edge of Heaven,Fatih Akin,2007,5,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,/name/nm0015359/,"Hamburg, West Germany"
Waltz with Bashir,Ari Folman,2008,6,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,/name/nm0284369/,"Haifa, Israel"
Oldboy,Park Chan-wook,2003,7,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,/name/nm0661791/,"Seoul, South Korea"
Good Bye Lenin!,Wolfgang Becker,2003,8,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,/name/nm0065615/,"Hemer, North Rhine-Westphalia, Germany"
Ida,PaweÅ Pawlikowski,2013,9,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,/name/nm0667734/,"Warsaw, Mazowieckie, Poland"
Incendies,Denis Villeneuve,2010,10,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,/name/nm0898288/,"Trois-Rivières, Québec, Canada"
Mulholland Drive,David Lynch,2001,1,Tim Robey,The Daily Telegraph,UK,/name/nm0000186/,"Missoula, Montana, USA"
"Synecdoche, New York",Charlie Kaufman,2008,2,Tim Robey,The Daily Telegraph,UK,/name/nm0442109/,"New York City, New York, USA"
Birth,Jonathan Glazer,2004,3,Tim Robey,The Daily Telegraph,UK,/name/nm0322242/,"London, England, UK"
Elena,Andrey Zvyagintsev,2011,4,Tim Robey,The Daily Telegraph,UK,/name/nm1168657/,"Novosibirsk, Novosibirskaya oblast, RSFSR, USSR [now Russia]"
Carol,Todd Haynes,2015,5,Tim Robey,The Daily Telegraph,UK,/name/nm0001331/,"Los Angeles, California, USA"
Tabu,Miguel Gomes,2012,6,Tim Robey,The Daily Telegraph,UK,/name/nm0326937/,"Lisbon, Portugal"
Master and Commander: The Far Side of the World,Peter Weir,2003,7,Tim Robey,The Daily Telegraph,UK,/name/nm0001837/,"Sydney, New South Wales, Australia"
Margaret,Kenneth Lonergan,2011,8,Tim Robey,The Daily Telegraph,UK,/name/nm0518836/,"New York City, New York, USA"
There Will Be Blood,Paul Thomas Anderson,2007,9,Tim Robey,The Daily Telegraph,UK,/name/nm0000759/,"Studio City, California, USA"
12 Years a Slave,Steve McQueen,2013,10,Tim Robey,The Daily Telegraph,UK,/name/nm0000537/,"Beech Grove, Indiana, USA"
25th Hour,Spike Lee,2002,1,Tasha Robinson,The Verge,US,/name/nm0000490/,"Atlanta, Georgia, USA"
City of God,Fernando Meirelles and Kátia Lund,2002,2,Tasha Robinson,The Verge,US,,
The Act of Killing,Joshua Oppenheimer,2012,3,Tasha Robinson,The Verge,US,/name/nm1484791/,"Texas, USA"
The Prestige,Christopher Nolan,2006,4,Tasha Robinson,The Verge,US,/name/nm0634240/,"London, England, UK"
Spirited Away,Hayao Miyazaki,2001,5,Tasha Robinson,The Verge,US,/name/nm0594503/,"Tokyo, Japan"
The Incredibles,Brad Bird,2004,6,Tasha Robinson,The Verge,US,/name/nm0083348/,"Kalispell, Montana, USA"
Gosford Park,Robert Altman,2001,7,Tasha Robinson,The Verge,US,/name/nm0000265/,"Kansas City, Missouri, USA"
Memento,Christopher Nolan,2000,8,Tasha Robinson,The Verge,US,/name/nm0634240/,"London, England, UK"
Song of the Sea,Tomm Moore,2014,9,Tasha Robinson,The Verge,US,/name/nm1119079/,"Newry, Northern Ireland, UK"
"Synecdoche, New York",Charlie Kaufman,2008,10,Tasha Robinson,The Verge,US,/name/nm0442109/,"New York City, New York, USA"
Mulholland Drive,David Lynch,2001,1,Rene Rodriguez,The Miami Herald,US,/name/nm0000186/,"Missoula, Montana, USA"
In the Mood for Love,Wong Kar-wai,2000,2,Rene Rodriguez,The Miami Herald,US,/name/nm0939182/,"Shanghai, China"
No Country For Old Men,Joel and Ethan Coen,2007,3,Rene Rodriguez,The Miami Herald,US,,
There Will Be Blood,Paul Thomas Anderson,2007,4,Rene Rodriguez,The Miami Herald,US,/name/nm0000759/,"Studio City, California, USA"
Spirited Away,Hayao Miyazaki,2001,5,Rene Rodriguez,The Miami Herald,US,/name/nm0594503/,"Tokyo, Japan"
City of God,Fernando Meirelles and Kátia Lund,2002,6,Rene Rodriguez,The Miami Herald,US,,
Yi Yi: A One and a Two,Edward Yang,2000,7,Rene Rodriguez,The Miami Herald,US,/name/nm0945981/,"Shanghai, China"
Adaptation,Spike Jonze,2002,8,Rene Rodriguez,The Miami Herald,US,/name/nm0005069/,"Rockville, Maryland, USA"
A Separation,Asghar Farhadi,2011,9,Rene Rodriguez,The Miami Herald,US,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran"
Elephant,Gus Van Sant,2003,10,Rene Rodriguez,The Miami Herald,US,/name/nm0001814/,"Louisville, Kentucky, USA"
Werckmeister Harmonies,Béla Tarr and Ágnes Hranitzky,2000,1,Jonathan Romney,Freelance film critic,UK,,
Syndromes and a Century,Apichatpong Weerasethakul,2006,2,Jonathan Romney,Freelance film critic,UK,/name/nm0917405/,"Bangkok, Thailand"
My Winnipeg,Guy Maddin,2007,3,Jonathan Romney,Freelance film critic,UK,/name/nm0534665/,"Winnipeg, Manitoba, Canada"
35 Shots of Rum,Claire Denis,2008,4,Jonathan Romney,Freelance film critic,UK,/name/nm0219136/,"Paris, France"
The Royal Tenenbaums,Wes Anderson,2001,5,Jonathan Romney,Freelance film critic,UK,/name/nm0027572/,"Houston, Texas, USA"
The Great Beauty,Paolo Sorrentino,2013,6,Jonathan Romney,Freelance film critic,UK,/name/nm0815204/,"Naples, Campania, Italy"
"Monsters, Inc.","Pete Docter, David Silverman and Lee Unkrich",2001,7,Jonathan Romney,Freelance film critic,UK,,
The Arbor,Clio Barnard,2010,8,Jonathan Romney,Freelance film critic,UK,/name/nm1163237/,"Otley, Leeds, West Yorkshire, England, UK"
The Clock,Christian Marclay,2010,9,Jonathan Romney,Freelance film critic,UK,/name/nm3827692/,
"Goodbye, Dragon Inn",Tsai Ming-liang,2003,10,Jonathan Romney,Freelance film critic,UK,/name/nm0158857/,"Kuching, Sarawak, Malaysia"
Zodiac,David Fincher,2007,1,Alyssa Rosenberg,The Washington Post,US,/name/nm0000399/,"Denver, Colorado, USA"
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,2,Alyssa Rosenberg,The Washington Post,US,/name/nm0000487/,"Pingtung, Taiwan"
Zero Dark Thirty,Kathryn Bigelow,2012,3,Alyssa Rosenberg,The Washington Post,US,/name/nm0000941/,"San Carlos, California, USA"
Spirited Away,Hayao Miyazaki,2001,4,Alyssa Rosenberg,The Washington Post,US,/name/nm0594503/,"Tokyo, Japan"
2046,Wong Kar-wai,2004,5,Alyssa Rosenberg,The Washington Post,US,/name/nm0939182/,"Shanghai, China"
Moonrise Kingdom,Wes Anderson,2012,6,Alyssa Rosenberg,The Washington Post,US,/name/nm0027572/,"Houston, Texas, USA"
Beasts of the Southern Wild,Benh Zeitlin,2012,7,Alyssa Rosenberg,The Washington Post,US,/name/nm1022455/,"Manhattan, New York, USA"
Boyhood,Richard Linklater,2014,8,Alyssa Rosenberg,The Washington Post,US,/name/nm0000500/,"Houston, Texas, USA"
Short Term 12,Destin Daniel Cretton,2013,9,Alyssa Rosenberg,The Washington Post,US,/name/nm2308774/,"Maui, Hawaii, USA"
Monster,Patty Jenkins,2003,10,Alyssa Rosenberg,The Washington Post,US,/name/nm0420941/,"George Air Force Base, Victorville, California, USA"
Caramel,Nadine Labaki,2007,1,E Nina Rothe,The Huffington Post,Italy,/name/nm1701024/,"Beirut, Lebanon"
The Tiger and the Snow,Roberto Benigni,2005,2,E Nina Rothe,The Huffington Post,Italy,/name/nm0000905/,"Manciano La Misericordia, Castiglion Fiorentino, Tuscany, Italy"
Taxi Tehran,Jafar Panahi,2015,3,E Nina Rothe,The Huffington Post,Italy,/name/nm0070159/,"Mianeh, Azarbaijan Province, Iran"
A Borrowed Identity,Eran Riklis,2014,4,E Nina Rothe,The Huffington Post,Italy,/name/nm0726954/,"Beersheba, Israel"
When I Saw You,Annemarie Jacir,2012,5,E Nina Rothe,The Huffington Post,Italy,/name/nm1486975/,"Bethlehem, Palestine"
99 Homes,Ramin Bahrani,2014,6,E Nina Rothe,The Huffington Post,Italy,/name/nm1023919/,"North Carolina, USA"
Somewhere,Sofia Coppola,2010,7,E Nina Rothe,The Huffington Post,Italy,/name/nm0001068/,"New York City, New York, USA"
Human,Yann Arthus-Bertrand,2015,8,E Nina Rothe,The Huffington Post,Italy,/name/nm0037867/,"Paris, France"
Brokeback Mountain,Ang Lee,2005,9,E Nina Rothe,The Huffington Post,Italy,/name/nm0000487/,"Pingtung, Taiwan"
About Elly,Asghar Farhadi,2009,10,E Nina Rothe,The Huffington Post,Italy,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran"
Zodiac,David Fincher,2007,1,Joshua Rothkopf,Time Out New York,US,/name/nm0000399/,"Denver, Colorado, USA"
Mulholland Drive,David Lynch,2001,2,Joshua Rothkopf,Time Out New York,US,/name/nm0000186/,"Missoula, Montana, USA"
In the Mood for Love,Wong Kar-wai,2000,3,Joshua Rothkopf,Time Out New York,US,/name/nm0939182/,"Shanghai, China"
Yi Yi: A One and a Two,Edward Yang,2000,4,Joshua Rothkopf,Time Out New York,US,/name/nm0945981/,"Shanghai, China"
Boyhood,Richard Linklater,2014,5,Joshua Rothkopf,Time Out New York,US,/name/nm0000500/,"Houston, Texas, USA"
American Psycho,Mary Harron,2000,6,Joshua Rothkopf,Time Out New York,US,/name/nm0366004/,"Bracebridge, Ontario, Canada"
Lilya 4-Ever,Lukas Moodysson,2002,7,Joshua Rothkopf,Time Out New York,US,/name/nm0600546/,"Malmö, Skåne län, Sweden"
Drive,Nicolas Winding Refn,2011,8,Joshua Rothkopf,Time Out New York,US,/name/nm0716347/,"Copenhagen, Denmark"
25th Hour,Spike Lee,2002,9,Joshua Rothkopf,Time Out New York,US,/name/nm0000490/,"Atlanta, Georgia, USA"
A Serious Man,Joel and Ethan Coen,2009,10,Joshua Rothkopf,Time Out New York,US,,
The Tree of Life,Terrence Malick,2011,1,Mohammed Rouda,Asharq Al-Awsat,Lebanon,/name/nm0000517/,"Ottawa, Illinois, USA"
Children of Men,Alfonso Cuarón,2006,2,Mohammed Rouda,Asharq Al-Awsat,Lebanon,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico"
Alexandre Sokurov,Aleksandr Sokurov,2015,3,Mohammed Rouda,Asharq Al-Awsat,Lebanon,/name/nm0812546/,"Podorvikha, Irkutskaya oblast, RSFSR, USSR [now Russia]"
There Will Be Blood,Paul Thomas Anderson,2007,4,Mohammed Rouda,Asharq Al-Awsat,Lebanon,/name/nm0000759/,"Studio City, California, USA"
Letters From Iwo Jima,Clint Eastwood,2006,5,Mohammed Rouda,Asharq Al-Awsat,Lebanon,/name/nm0000142/,"San Francisco, California, USA"
The Death of Mr Lazarescu,Cristi Puiu,2005,6,Mohammed Rouda,Asharq Al-Awsat,Lebanon,/name/nm1090998/,"Bucharest, Romania"
Paradise Now,Hany Abu-Assad,2005,7,Mohammed Rouda,Asharq Al-Awsat,Lebanon,/name/nm0009463/,"Nazareth, Israel"
Leviathan,Andrey Zvyagintsev,2014,8,Mohammed Rouda,Asharq Al-Awsat,Lebanon,/name/nm1168657/,"Novosibirsk, Novosibirskaya oblast, RSFSR, USSR [now Russia]"
A Pigeon Sat on a Branch Reflecting on Existence,Roy Andersson,2014,9,Mohammed Rouda,Asharq Al-Awsat,Lebanon,/name/nm0027815/,"Gothenburg, Västra Götalands län, Sweden"
Amélie,Jean-Pierre Jeunet,2001,10,Mohammed Rouda,Asharq Al-Awsat,Lebanon,/name/nm0000466/,"Roanne, Loire, Rhône-Alpes, France"
Inside Llewyn Davis,Joel and Ethan Coen,2013,1,Mike Ryan,Uproxx,US,,
25th Hour,Spike Lee,2002,2,Mike Ryan,Uproxx,US,/name/nm0000490/,"Atlanta, Georgia, USA"
Almost Famous,Cameron Crowe,2000,3,Mike Ryan,Uproxx,US,/name/nm0001081/,"Palm Springs, California, USA"
Lost in Translation,Sofia Coppola,2003,4,Mike Ryan,Uproxx,US,/name/nm0001068/,"New York City, New York, USA"
Punch-Drunk Love,Paul Thomas Anderson,2002,5,Mike Ryan,Uproxx,US,/name/nm0000759/,"Studio City, California, USA"
Zodiac,David Fincher,2007,6,Mike Ryan,Uproxx,US,/name/nm0000399/,"Denver, Colorado, USA"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,7,Mike Ryan,Uproxx,US,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
The Social Network,David Fincher,2010,8,Mike Ryan,Uproxx,US,/name/nm0000399/,"Denver, Colorado, USA"
12 Years a Slave,Steve McQueen,2013,9,Mike Ryan,Uproxx,US,/name/nm0000537/,"Beech Grove, Indiana, USA"
Spotlight,Tom McCarthy,2015,10,Mike Ryan,Uproxx,US,/name/nm0565336/,"New Providence, New Jersey, USA"
In the Mood for Love,Wong Kar-wai,2000,1,Alaka Sahani,The Indian Express,India,/name/nm0939182/,"Shanghai, China"
The Lives of Others,Florian Henckel von Donnersmarck,2006,2,Alaka Sahani,The Indian Express,India,/name/nm0003697/,"Cologne, North Rhine-Westphalia, Germany"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,3,Alaka Sahani,The Indian Express,India,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
Kill Bill: Vol. 1,Quentin Tarantino,2003,4,Alaka Sahani,The Indian Express,India,/name/nm0000233/,"Knoxville, Tennessee, USA"
Inception,Christopher Nolan,2010,5,Alaka Sahani,The Indian Express,India,/name/nm0634240/,"London, England, UK"
Talk to Her,Pedro Almodóvar,2002,6,Alaka Sahani,The Indian Express,India,/name/nm0000264/,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain"
Amores Perros,Alejandro González Iñárritu,2000,7,Alaka Sahani,The Indian Express,India,/name/nm0327944/,"Mexico City, Distrito Federal, Mexico"
Infernal Affairs,Andrew Lau and Alan Mak,2002,8,Alaka Sahani,The Indian Express,India,,
Lost in Translation,Sofia Coppola,2003,9,Alaka Sahani,The Indian Express,India,/name/nm0001068/,"New York City, New York, USA"
Shrek,Andrew Adamson and Vicky Jenson,2001,10,Alaka Sahani,The Indian Express,India,,
The Time That Remains,Elia Suleiman,2009,1,Rasha Salti,Independent curator/film programmer,Lebanon,/name/nm0837839/,"Nazareth, Israel"
The Turin Horse,Béla Tarr and Ágnes Hranitzky,2011,2,Rasha Salti,Independent curator/film programmer,Lebanon,,
The Box of Life,Ossama Mohammed,2002,3,Rasha Salti,Independent curator/film programmer,Lebanon,/name/nm0611256/,"Lattakia, Syria"
Men at Work,Mani Haghighi,2006,4,Rasha Salti,Independent curator/film programmer,Lebanon,/name/nm2155679/,"Tehran, Iran"
Tey,Alain Gomis,2012,5,Rasha Salti,Independent curator/film programmer,Lebanon,/name/nm0327120/,"Paris, France"
A Touch of Sin,Jia Zhangke,2013,6,Rasha Salti,Independent curator/film programmer,Lebanon,/name/nm0422605/,"Fenyang, Shanxi, China"
My Heart Beats Only for Her,Mohamed Soueid,2009,7,Rasha Salti,Independent curator/film programmer,Lebanon,/name/nm12496991/,
Arabian Nights: Volume 1 – The Restless One,Miguel Gomes,2015,8,Rasha Salti,Independent curator/film programmer,Lebanon,/name/nm0326937/,"Lisbon, Portugal"
Nostalgia for the Light,Patricio Guzmán,2010,9,Rasha Salti,Independent curator/film programmer,Lebanon,/name/nm0350099/,"Santiago, Chile"
"I Travel Because I Have To, I Come Back Because I Love You",Karim Aïnouz and Marcelo Gomes,2009,10,Rasha Salti,Independent curator/film programmer,Lebanon,,
Werckmeister Harmonies,Béla Tarr and Ágnes Hranitzky,2000,1,Eric Sasono,Freelance film critic,Indonesia,,
Leviathan,Lucien Castaing-Taylor and Verena Paravel,2012,2,Eric Sasono,Freelance film critic,Indonesia,,
The Gleaners and I,Agnès Varda,2000,3,Eric Sasono,Freelance film critic,Indonesia,/name/nm0889513/,"Ixelles, Belgium"
The Great Beauty,Paolo Sorrentino,2013,4,Eric Sasono,Freelance film critic,Indonesia,/name/nm0815204/,"Naples, Campania, Italy"
The Act of Killing,Joshua Oppenheimer,2012,5,Eric Sasono,Freelance film critic,Indonesia,/name/nm1484791/,"Texas, USA"
"Norte, the End of History",Lav Diaz,2013,6,Eric Sasono,Freelance film critic,Indonesia,/name/nm0225010/,"Datu Paglas, Maguindanao, Mindanao, Philippines"
Caché,Michael Haneke,2005,7,Eric Sasono,Freelance film critic,Indonesia,/name/nm0359734/,"Munich, Bavaria, Germany"
Nostalgia for the Light,Patricio Guzmán,2010,8,Eric Sasono,Freelance film critic,Indonesia,/name/nm0350099/,"Santiago, Chile"
Spirited Away,Hayao Miyazaki,2001,9,Eric Sasono,Freelance film critic,Indonesia,/name/nm0594503/,"Tokyo, Japan"
A Separation,Asghar Farhadi,2011,10,Eric Sasono,Freelance film critic,Indonesia,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran"
The New World,Terrence Malick,2005,1,Nick Schager,Variety,US,/name/nm0000517/,"Ottawa, Illinois, USA"
Mulholland Drive,David Lynch,2001,2,Nick Schager,Variety,US,/name/nm0000186/,"Missoula, Montana, USA"
Zodiac,David Fincher,2007,3,Nick Schager,Variety,US,/name/nm0000399/,"Denver, Colorado, USA"
There Will Be Blood,Paul Thomas Anderson,2007,4,Nick Schager,Variety,US,/name/nm0000759/,"Studio City, California, USA"
In the Mood for Love,Wong Kar-wai,2000,5,Nick Schager,Variety,US,/name/nm0939182/,"Shanghai, China"
Three Times,Hou Hsiao-hsien,2005,6,Nick Schager,Variety,US,/name/nm0396284/,"Meixian, Guangdong, China"
The Tree of Life,Terrence Malick,2011,7,Nick Schager,Variety,US,/name/nm0000517/,"Ottawa, Illinois, USA"
The Act of Killing,Joshua Oppenheimer,2012,8,Nick Schager,Variety,US,/name/nm1484791/,"Texas, USA"
"Synecdoche, New York",Charlie Kaufman,2008,9,Nick Schager,Variety,US,/name/nm0442109/,"New York City, New York, USA"
Pulse,Kiyoshi Kurosawa,2001,10,Nick Schager,Variety,US,/name/nm0475905/,"Kobe, Japan"
In the Mood for Love,Wong Kar-wai,2000,1,Missy Schwartz,Freelance film critic,US,/name/nm0939182/,"Shanghai, China"
Zero Dark Thirty,Kathryn Bigelow,2012,2,Missy Schwartz,Freelance film critic,US,/name/nm0000941/,"San Carlos, California, USA"
Inside Out,Pete Docter,2015,3,Missy Schwartz,Freelance film critic,US,/name/nm0230032/,"Bloomington, Minnesota, USA"
Brokeback Mountain,Ang Lee,2005,4,Missy Schwartz,Freelance film critic,US,/name/nm0000487/,"Pingtung, Taiwan"
The Departed,Martin Scorsese,2006,5,Missy Schwartz,Freelance film critic,US,/name/nm0000217/,"Queens, New York City, New York, USA"
12 Years a Slave,Steve McQueen,2013,6,Missy Schwartz,Freelance film critic,US,/name/nm0000537/,"Beech Grove, Indiana, USA"
Talk to Her,Pedro Almodóvar,2002,7,Missy Schwartz,Freelance film critic,US,/name/nm0000264/,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain"
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,8,Missy Schwartz,Freelance film critic,US,/name/nm0000487/,"Pingtung, Taiwan"
No Country For Old Men,Joel and Ethan Coen,2007,9,Missy Schwartz,Freelance film critic,US,,
Beginners,Mike Mills,2010,10,Missy Schwartz,Freelance film critic,US,/name/nm0590122/,"Berkeley, California, USA"
Gett: The Trial of Viviane Amselem,Ronit Elkabetz and Shlomi Elkabetz,2014,1,Matt Zoller Seitz,New York Magazine,US,,
The Act of Killing,Joshua Oppenheimer,2012,2,Matt Zoller Seitz,New York Magazine,US,/name/nm1484791/,"Texas, USA"
The Look of Silence,Joshua Oppenheimer,2014,3,Matt Zoller Seitz,New York Magazine,US,/name/nm1484791/,"Texas, USA"
The Tree of Life,Terrence Malick,2011,4,Matt Zoller Seitz,New York Magazine,US,/name/nm0000517/,"Ottawa, Illinois, USA"
Knight of Cups,Terrence Malick,2015,5,Matt Zoller Seitz,New York Magazine,US,/name/nm0000517/,"Ottawa, Illinois, USA"
Inherent Vice,Paul Thomas Anderson,2014,6,Matt Zoller Seitz,New York Magazine,US,/name/nm0000759/,"Studio City, California, USA"
The Grand Budapest Hotel,Wes Anderson,2014,7,Matt Zoller Seitz,New York Magazine,US,/name/nm0027572/,"Houston, Texas, USA"
A Separation,Asghar Farhadi,2011,8,Matt Zoller Seitz,New York Magazine,US,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran"
Godzilla,Gareth Edwards,2014,9,Matt Zoller Seitz,New York Magazine,US,/name/nm2284484/,"Nuneaton, Warwickshire, England, UK"
Under the Skin,Jonathan Glazer,2013,10,Matt Zoller Seitz,New York Magazine,US,/name/nm0322242/,"London, England, UK"
No,Pablo Larraín,2012,1,Avner Shavit,Walla,Israel,/name/nm1883257/,"Santiago, Chile"
Persepolis,Vincent Paronnaud and Marjane Satrapi,2007,2,Avner Shavit,Walla,Israel,,
Boyhood,Richard Linklater,2014,3,Avner Shavit,Walla,Israel,/name/nm0000500/,"Houston, Texas, USA"
Mulholland Drive,David Lynch,2001,4,Avner Shavit,Walla,Israel,/name/nm0000186/,"Missoula, Montana, USA"
The Hurt Locker,Kathryn Bigelow,2008,5,Avner Shavit,Walla,Israel,/name/nm0000941/,"San Carlos, California, USA"
Girlhood,Céline Sciamma,2014,6,Avner Shavit,Walla,Israel,/name/nm1780037/,"Pontoise, Val-d'Oise, France"
Eden,Mia Hansen-Løve,2014,7,Avner Shavit,Walla,Israel,/name/nm0361135/,"Paris, France"
A Touch of Sin,Jia Zhangke,2013,8,Avner Shavit,Walla,Israel,/name/nm0422605/,"Fenyang, Shanxi, China"
24 Hour Party People,Michael Winterbottom,2002,9,Avner Shavit,Walla,Israel,/name/nm0935863/,"Blackburn, Lancashire, England, UK"
Toni Erdmann,Maren Ade,2016,10,Avner Shavit,Walla,Israel,/name/nm0011752/,"Karlsruhe, Baden-Württemberg, Germany"
There Will Be Blood,Paul Thomas Anderson,2007,1,Catherine Shoard,The Guardian,UK,/name/nm0000759/,"Studio City, California, USA"
12 Years a Slave,Steve McQueen,2013,2,Catherine Shoard,The Guardian,UK,/name/nm0000537/,"Beech Grove, Indiana, USA"
Under the Skin,Jonathan Glazer,2013,3,Catherine Shoard,The Guardian,UK,/name/nm0322242/,"London, England, UK"
Leviathan,Andrey Zvyagintsev,2014,4,Catherine Shoard,The Guardian,UK,/name/nm1168657/,"Novosibirsk, Novosibirskaya oblast, RSFSR, USSR [now Russia]"
The Great Beauty,Paolo Sorrentino,2013,5,Catherine Shoard,The Guardian,UK,/name/nm0815204/,"Naples, Campania, Italy"
Nebraska,Alexander Payne,2013,6,Catherine Shoard,The Guardian,UK,/name/nm0668247/,"Omaha, Nebraska, USA"
Before Sunset,Richard Linklater,2004,7,Catherine Shoard,The Guardian,UK,/name/nm0000500/,"Houston, Texas, USA"
Team America: World Police,Trey Parker,2004,8,Catherine Shoard,The Guardian,UK,/name/nm0005295/,"Conifer, Colorado, USA"
Dogville,Lars von Trier,2003,9,Catherine Shoard,The Guardian,UK,/name/nm0001885/,"Copenhagen, Denmark"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,2006,10,Catherine Shoard,The Guardian,UK,/name/nm0153078/,"Brooklyn, New York City, New York, USA"
Yi Yi: A One and a Two,Edward Yang,2000,1,Yael Shuv,Time Out Tel Aviv,Israel,/name/nm0945981/,"Shanghai, China"
Spirited Away,Hayao Miyazaki,2001,2,Yael Shuv,Time Out Tel Aviv,Israel,/name/nm0594503/,"Tokyo, Japan"
Margaret,Kenneth Lonergan,2011,3,Yael Shuv,Time Out Tel Aviv,Israel,/name/nm0518836/,"New York City, New York, USA"
There Will Be Blood,Paul Thomas Anderson,2007,4,Yael Shuv,Time Out Tel Aviv,Israel,/name/nm0000759/,"Studio City, California, USA"
The Grand Budapest Hotel,Wes Anderson,2014,5,Yael Shuv,Time Out Tel Aviv,Israel,/name/nm0027572/,"Houston, Texas, USA"
Still Walking,Hirokazu Koreeda,2008,6,Yael Shuv,Time Out Tel Aviv,Israel,/name/nm0466153/,"Tokyo, Japan"
Moolaadé,Ousmane Sembène,2004,7,Yael Shuv,Time Out Tel Aviv,Israel,/name/nm0783733/,"Ziguenchor, Casamance, Senegal"
Memento,Christopher Nolan,2000,8,Yael Shuv,Time Out Tel Aviv,Israel,/name/nm0634240/,"London, England, UK"
Oldboy,Park Chan-wook,2003,9,Yael Shuv,Time Out Tel Aviv,Israel,/name/nm0661791/,"Seoul, South Korea"
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,10,Yael Shuv,Time Out Tel Aviv,Israel,/name/nm0000487/,"Pingtung, Taiwan"
Boyhood,Richard Linklater,2014,1,Matt Singer,ScreenCrush,US,/name/nm0000500/,"Houston, Texas, USA"
Holy Motors,Leos Carax,2012,2,Matt Singer,ScreenCrush,US,/name/nm0136021/,"Suresnes, Seine [now Hauts-de-Seine], France"
Mulholland Drive,David Lynch,2001,3,Matt Singer,ScreenCrush,US,/name/nm0000186/,"Missoula, Montana, USA"
Memento,Christopher Nolan,2000,4,Matt Singer,ScreenCrush,US,/name/nm0634240/,"London, England, UK"
The Master,Paul Thomas Anderson,2012,5,Matt Singer,ScreenCrush,US,/name/nm0000759/,"Studio City, California, USA"
Inside Llewyn Davis,Joel and Ethan Coen,2013,6,Matt Singer,ScreenCrush,US,,
The Diving Bell and the Butterfly,Julian Schnabel,2007,7,Matt Singer,ScreenCrush,US,/name/nm0773603/,"Brooklyn, New York, USA"
My Winnipeg,Guy Maddin,2007,8,Matt Singer,ScreenCrush,US,/name/nm0534665/,"Winnipeg, Manitoba, Canada"
