movie,director,m_year,crit_rank,critic,crit_org,crit_cn,link,dir_cn,dir_cn_geocode
Waltz with Bashir,Ari Folman,2008,6,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,/name/nm0284369/,"Haifa, Israel","[32.8191218, 34.9983856]"
Oldboy,Park Chan-wook,2003,7,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,/name/nm0661791/,"Seoul, South Korea","[37.5666791, 126.9782914]"
Good Bye Lenin!,Wolfgang Becker,2003,8,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,/name/nm0065615/,"Hemer, North Rhine-Westphalia, Germany","[51.3854116, 7.7661798]"
Ida,PaweÅ Pawlikowski,2013,9,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,/name/nm0667734/,"Warsaw, Mazowieckie, Poland","[52.2319581, 21.0067249]"
Incendies,Denis Villeneuve,2010,10,Antonio Mazón Robau,Cinemateca de Cuba,Cuba,/name/nm0898288/,"Trois-Rivières, Québec, Canada","[46.3507999, -72.5571257]"
Mulholland Drive,David Lynch,2001,1,Tim Robey,The Daily Telegraph,UK,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
"Synecdoche, New York",Charlie Kaufman,2008,2,Tim Robey,The Daily Telegraph,UK,/name/nm0442109/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Birth,Jonathan Glazer,2004,3,Tim Robey,The Daily Telegraph,UK,/name/nm0322242/,"London, England, UK","[51.5073219, -0.1276474]"
Elena,Andrey Zvyagintsev,2011,4,Tim Robey,The Daily Telegraph,UK,/name/nm1168657/,"Novosibirsk, Novosibirskaya oblast, Russia","[54.8053593, 83.0887559]"
Carol,Todd Haynes,2015,5,Tim Robey,The Daily Telegraph,UK,/name/nm0001331/,"Los Angeles, California, USA","[34.0536909, -118.242766]"
Tabu,Miguel Gomes,2012,6,Tim Robey,The Daily Telegraph,UK,/name/nm0326937/,"Lisbon, Portugal","[38.7077507, -9.1365919]"
Master and Commander: The Far Side of the World,Peter Weir,2003,7,Tim Robey,The Daily Telegraph,UK,/name/nm0001837/,"Sydney, New South Wales, Australia","[-33.8548157, 151.2164539]"
Margaret,Kenneth Lonergan,2011,8,Tim Robey,The Daily Telegraph,UK,/name/nm0518836/,"New York City, New York, USA","[40.7127281, -74.0060152]"
There Will Be Blood,Paul Thomas Anderson,2007,9,Tim Robey,The Daily Telegraph,UK,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
12 Years a Slave,Steve McQueen,2013,10,Tim Robey,The Daily Telegraph,UK,/name/nm0000537/,"Beech Grove, Indiana, USA","[39.7221906, -86.0894158]"
25th Hour,Spike Lee,2002,1,Tasha Robinson,The Verge,US,/name/nm0000490/,"Atlanta, Georgia, USA","[33.7489924, -84.3902644]"
City of God,Fernando Meirelles and Kátia Lund,2002,2,Tasha Robinson,The Verge,US,,,"[46.3144754, 11.0480288]"
The Act of Killing,Joshua Oppenheimer,2012,3,Tasha Robinson,The Verge,US,/name/nm1484791/,"Texas, USA","[31.168570000000003, -99.68300099546674]"
The Prestige,Christopher Nolan,2006,4,Tasha Robinson,The Verge,US,/name/nm0634240/,"London, England, UK","[51.5073219, -0.1276474]"
Spirited Away,Hayao Miyazaki,2001,5,Tasha Robinson,The Verge,US,/name/nm0594503/,"Tokyo, Japan","[35.6828387, 139.7594549]"
The Incredibles,Brad Bird,2004,6,Tasha Robinson,The Verge,US,/name/nm0083348/,"Kalispell, Montana, USA","[48.202158, -114.315321]"
Gosford Park,Robert Altman,2001,7,Tasha Robinson,The Verge,US,/name/nm0000265/,"Kansas City, Missouri, USA","[39.100105, -94.5781416]"
Memento,Christopher Nolan,2000,8,Tasha Robinson,The Verge,US,/name/nm0634240/,"London, England, UK","[51.5073219, -0.1276474]"
Song of the Sea,Tomm Moore,2014,9,Tasha Robinson,The Verge,US,/name/nm1119079/,"Newry, Northern Ireland, UK","[54.1775283, -6.337506]"
"Synecdoche, New York",Charlie Kaufman,2008,10,Tasha Robinson,The Verge,US,/name/nm0442109/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Mulholland Drive,David Lynch,2001,1,Rene Rodriguez,The Miami Herald,US,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
In the Mood for Love,Wong Kar-wai,2000,2,Rene Rodriguez,The Miami Herald,US,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
No Country For Old Men,Joel and Ethan Coen,2007,3,Rene Rodriguez,The Miami Herald,US,,,"[46.3144754, 11.0480288]"
There Will Be Blood,Paul Thomas Anderson,2007,4,Rene Rodriguez,The Miami Herald,US,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
Spirited Away,Hayao Miyazaki,2001,5,Rene Rodriguez,The Miami Herald,US,/name/nm0594503/,"Tokyo, Japan","[35.6828387, 139.7594549]"
City of God,Fernando Meirelles and Kátia Lund,2002,6,Rene Rodriguez,The Miami Herald,US,,,"[46.3144754, 11.0480288]"
Yi Yi: A One and a Two,Edward Yang,2000,7,Rene Rodriguez,The Miami Herald,US,/name/nm0945981/,"Shanghai, China","[31.2322758, 121.4692071]"
Adaptation,Spike Jonze,2002,8,Rene Rodriguez,The Miami Herald,US,/name/nm0005069/,"Rockville, Maryland, USA","[39.0817985, -77.1516844]"
A Separation,Asghar Farhadi,2011,9,Rene Rodriguez,The Miami Herald,US,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran","[32.6938201, 51.5254892]"
Elephant,Gus Van Sant,2003,10,Rene Rodriguez,The Miami Herald,US,/name/nm0001814/,"Louisville, Kentucky, USA","[38.2542376, -85.759407]"
Werckmeister Harmonies,Béla Tarr and Ágnes Hranitzky,2000,1,Jonathan Romney,Freelance film critic,UK,,,"[46.3144754, 11.0480288]"
Syndromes and a Century,Apichatpong Weerasethakul,2006,2,Jonathan Romney,Freelance film critic,UK,/name/nm0917405/,"Bangkok, Thailand","[13.7525438, 100.4934734]"
My Winnipeg,Guy Maddin,2007,3,Jonathan Romney,Freelance film critic,UK,/name/nm0534665/,"Winnipeg, Manitoba, Canada","[49.8955367, -97.1384584]"
35 Shots of Rum,Claire Denis,2008,4,Jonathan Romney,Freelance film critic,UK,/name/nm0219136/,"Paris, France","[48.8588897, 2.3200410217200766]"
The Royal Tenenbaums,Wes Anderson,2001,5,Jonathan Romney,Freelance film critic,UK,/name/nm0027572/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
The Great Beauty,Paolo Sorrentino,2013,6,Jonathan Romney,Freelance film critic,UK,/name/nm0815204/,"Naples, Campania, Italy","[40.8359336, 14.2487826]"
"Monsters, Inc.","Pete Docter, David Silverman and Lee Unkrich",2001,7,Jonathan Romney,Freelance film critic,UK,,,"[46.3144754, 11.0480288]"
The Arbor,Clio Barnard,2010,8,Jonathan Romney,Freelance film critic,UK,/name/nm1163237/,"Otley, Leeds, West Yorkshire, England, UK","[53.9055083, -1.6938874]"
The Clock,Christian Marclay,2010,9,Jonathan Romney,Freelance film critic,UK,/name/nm3827692/,,"[46.3144754, 11.0480288]"
"Goodbye, Dragon Inn",Tsai Ming-liang,2003,10,Jonathan Romney,Freelance film critic,UK,/name/nm0158857/,"Kuching, Sarawak, Malaysia","[1.5574127, 110.3439862]"
Zodiac,David Fincher,2007,1,Alyssa Rosenberg,The Washington Post,US,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,2,Alyssa Rosenberg,The Washington Post,US,/name/nm0000487/,"Pingtung, Taiwan","[22.6828017, 120.487928]"
Zero Dark Thirty,Kathryn Bigelow,2012,3,Alyssa Rosenberg,The Washington Post,US,/name/nm0000941/,"San Carlos, California, USA","[37.504936, -122.261823]"
Spirited Away,Hayao Miyazaki,2001,4,Alyssa Rosenberg,The Washington Post,US,/name/nm0594503/,"Tokyo, Japan","[35.6828387, 139.7594549]"
2046,Wong Kar-wai,2004,5,Alyssa Rosenberg,The Washington Post,US,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
Moonrise Kingdom,Wes Anderson,2012,6,Alyssa Rosenberg,The Washington Post,US,/name/nm0027572/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Beasts of the Southern Wild,Benh Zeitlin,2012,7,Alyssa Rosenberg,The Washington Post,US,/name/nm1022455/,"Manhattan, New York, USA","[40.7896239, -73.9598939]"
Boyhood,Richard Linklater,2014,8,Alyssa Rosenberg,The Washington Post,US,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Short Term 12,Destin Daniel Cretton,2013,9,Alyssa Rosenberg,The Washington Post,US,/name/nm2308774/,"Maui, Hawaii, USA","[20.802956799999997, -156.31068331602177]"
Monster,Patty Jenkins,2003,10,Alyssa Rosenberg,The Washington Post,US,/name/nm0420941/,"George Air Force Base, Victorville, California, USA",
Caramel,Nadine Labaki,2007,1,E Nina Rothe,The Huffington Post,Italy,/name/nm1701024/,"Beirut, Lebanon","[33.8959203, 35.47843]"
The Tiger and the Snow,Roberto Benigni,2005,2,E Nina Rothe,The Huffington Post,Italy,/name/nm0000905/,"Manciano La Misericordia, Castiglion Fiorentino, Tuscany, Italy",
Taxi Tehran,Jafar Panahi,2015,3,E Nina Rothe,The Huffington Post,Italy,/name/nm0070159/,"Mianeh, Azarbaijan Province, Iran",
A Borrowed Identity,Eran Riklis,2014,4,E Nina Rothe,The Huffington Post,Italy,/name/nm0726954/,"Beersheba, Israel","[31.2457442, 34.7925181]"
When I Saw You,Annemarie Jacir,2012,5,E Nina Rothe,The Huffington Post,Italy,/name/nm1486975/,"Bethlehem, Palestine","[31.695528850000002, 35.18744285]"
99 Homes,Ramin Bahrani,2014,6,E Nina Rothe,The Huffington Post,Italy,/name/nm1023919/,"North Carolina, USA","[35.6729639, -79.0392919]"
Somewhere,Sofia Coppola,2010,7,E Nina Rothe,The Huffington Post,Italy,/name/nm0001068/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Human,Yann Arthus-Bertrand,2015,8,E Nina Rothe,The Huffington Post,Italy,/name/nm0037867/,"Paris, France","[48.8588897, 2.3200410217200766]"
Brokeback Mountain,Ang Lee,2005,9,E Nina Rothe,The Huffington Post,Italy,/name/nm0000487/,"Pingtung, Taiwan","[22.6828017, 120.487928]"
About Elly,Asghar Farhadi,2009,10,E Nina Rothe,The Huffington Post,Italy,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran","[32.6938201, 51.5254892]"
Zodiac,David Fincher,2007,1,Joshua Rothkopf,Time Out New York,US,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
Mulholland Drive,David Lynch,2001,2,Joshua Rothkopf,Time Out New York,US,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
In the Mood for Love,Wong Kar-wai,2000,3,Joshua Rothkopf,Time Out New York,US,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
Yi Yi: A One and a Two,Edward Yang,2000,4,Joshua Rothkopf,Time Out New York,US,/name/nm0945981/,"Shanghai, China","[31.2322758, 121.4692071]"
Boyhood,Richard Linklater,2014,5,Joshua Rothkopf,Time Out New York,US,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
American Psycho,Mary Harron,2000,6,Joshua Rothkopf,Time Out New York,US,/name/nm0366004/,"Bracebridge, Ontario, Canada","[45.041508, -79.310989]"
Lilya 4-Ever,Lukas Moodysson,2002,7,Joshua Rothkopf,Time Out New York,US,/name/nm0600546/,"Malmö, Skåne län, Sweden","[55.6052931, 13.0001566]"
Drive,Nicolas Winding Refn,2011,8,Joshua Rothkopf,Time Out New York,US,/name/nm0716347/,"Copenhagen, Denmark","[55.6867243, 12.5700724]"
25th Hour,Spike Lee,2002,9,Joshua Rothkopf,Time Out New York,US,/name/nm0000490/,"Atlanta, Georgia, USA","[33.7489924, -84.3902644]"
A Serious Man,Joel and Ethan Coen,2009,10,Joshua Rothkopf,Time Out New York,US,,,"[46.3144754, 11.0480288]"
The Tree of Life,Terrence Malick,2011,1,Mohammed Rouda,Asharq Al-Awsat,Lebanon,/name/nm0000517/,"Ottawa, Illinois, USA","[41.3516628, -88.845436]"
Children of Men,Alfonso Cuarón,2006,2,Mohammed Rouda,Asharq Al-Awsat,Lebanon,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
Alexandre Sokurov,Aleksandr Sokurov,2015,3,Mohammed Rouda,Asharq Al-Awsat,Lebanon,/name/nm0812546/,"Podorvikha, Irkutskaya oblast, Russia",
There Will Be Blood,Paul Thomas Anderson,2007,4,Mohammed Rouda,Asharq Al-Awsat,Lebanon,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
Letters From Iwo Jima,Clint Eastwood,2006,5,Mohammed Rouda,Asharq Al-Awsat,Lebanon,/name/nm0000142/,"San Francisco, California, USA","[37.7790262, -122.419906]"
The Death of Mr Lazarescu,Cristi Puiu,2005,6,Mohammed Rouda,Asharq Al-Awsat,Lebanon,/name/nm1090998/,"Bucharest, Romania","[44.4361414, 26.1027202]"
Paradise Now,Hany Abu-Assad,2005,7,Mohammed Rouda,Asharq Al-Awsat,Lebanon,/name/nm0009463/,"Nazareth, Israel","[32.7066301, 35.3048161]"
Leviathan,Andrey Zvyagintsev,2014,8,Mohammed Rouda,Asharq Al-Awsat,Lebanon,/name/nm1168657/,"Novosibirsk, Novosibirskaya oblast, Russia","[54.8053593, 83.0887559]"
A Pigeon Sat on a Branch Reflecting on Existence,Roy Andersson,2014,9,Mohammed Rouda,Asharq Al-Awsat,Lebanon,/name/nm0027815/,"Gothenburg, Västra Götalands län, Sweden","[57.7072326, 11.9670171]"
Amélie,Jean-Pierre Jeunet,2001,10,Mohammed Rouda,Asharq Al-Awsat,Lebanon,/name/nm0000466/,"Roanne, Loire, Rhône-Alpes, France","[46.0345572, 4.0729178]"
Inside Llewyn Davis,Joel and Ethan Coen,2013,1,Mike Ryan,Uproxx,US,,,"[46.3144754, 11.0480288]"
25th Hour,Spike Lee,2002,2,Mike Ryan,Uproxx,US,/name/nm0000490/,"Atlanta, Georgia, USA","[33.7489924, -84.3902644]"
Almost Famous,Cameron Crowe,2000,3,Mike Ryan,Uproxx,US,/name/nm0001081/,"Palm Springs, California, USA","[33.772179449999996, -116.49529769785079]"
Lost in Translation,Sofia Coppola,2003,4,Mike Ryan,Uproxx,US,/name/nm0001068/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Punch-Drunk Love,Paul Thomas Anderson,2002,5,Mike Ryan,Uproxx,US,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
Zodiac,David Fincher,2007,6,Mike Ryan,Uproxx,US,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,7,Mike Ryan,Uproxx,US,/name/nm0327273/,"Versailles, Yvelines, France","[48.8035403, 2.1266886]"
The Social Network,David Fincher,2010,8,Mike Ryan,Uproxx,US,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
12 Years a Slave,Steve McQueen,2013,9,Mike Ryan,Uproxx,US,/name/nm0000537/,"Beech Grove, Indiana, USA","[39.7221906, -86.0894158]"
Spotlight,Tom McCarthy,2015,10,Mike Ryan,Uproxx,US,/name/nm0565336/,"New Providence, New Jersey, USA","[40.6984348, -74.4015405]"
In the Mood for Love,Wong Kar-wai,2000,1,Alaka Sahani,The Indian Express,India,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
The Lives of Others,Florian Henckel von Donnersmarck,2006,2,Alaka Sahani,The Indian Express,India,/name/nm0003697/,"Cologne, North Rhine-Westphalia, Germany","[50.938361, 6.959974]"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,3,Alaka Sahani,The Indian Express,India,/name/nm0327273/,"Versailles, Yvelines, France","[48.8035403, 2.1266886]"
Kill Bill: Vol. 1,Quentin Tarantino,2003,4,Alaka Sahani,The Indian Express,India,/name/nm0000233/,"Knoxville, Tennessee, USA","[35.9603948, -83.9210261]"
Inception,Christopher Nolan,2010,5,Alaka Sahani,The Indian Express,India,/name/nm0634240/,"London, England, UK","[51.5073219, -0.1276474]"
Talk to Her,Pedro Almodóvar,2002,6,Alaka Sahani,The Indian Express,India,/name/nm0000264/,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain","[38.7043087, -3.7766972]"
Amores Perros,Alejandro González Iñárritu,2000,7,Alaka Sahani,The Indian Express,India,/name/nm0327944/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
Infernal Affairs,Andrew Lau and Alan Mak,2002,8,Alaka Sahani,The Indian Express,India,,,"[46.3144754, 11.0480288]"
Lost in Translation,Sofia Coppola,2003,9,Alaka Sahani,The Indian Express,India,/name/nm0001068/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Shrek,Andrew Adamson and Vicky Jenson,2001,10,Alaka Sahani,The Indian Express,India,,,"[46.3144754, 11.0480288]"
The Time That Remains,Elia Suleiman,2009,1,Rasha Salti,Independent curator/film programmer,Lebanon,/name/nm0837839/,"Nazareth, Israel","[32.7066301, 35.3048161]"
The Turin Horse,Béla Tarr and Ágnes Hranitzky,2011,2,Rasha Salti,Independent curator/film programmer,Lebanon,,,"[46.3144754, 11.0480288]"
The Box of Life,Ossama Mohammed,2002,3,Rasha Salti,Independent curator/film programmer,Lebanon,/name/nm0611256/,"Lattakia, Syria","[35.5200185, 35.7781044]"
Men at Work,Mani Haghighi,2006,4,Rasha Salti,Independent curator/film programmer,Lebanon,/name/nm2155679/,"Tehran, Iran","[35.6892523, 51.3896004]"
Tey,Alain Gomis,2012,5,Rasha Salti,Independent curator/film programmer,Lebanon,/name/nm0327120/,"Paris, France","[48.8588897, 2.3200410217200766]"
A Touch of Sin,Jia Zhangke,2013,6,Rasha Salti,Independent curator/film programmer,Lebanon,/name/nm0422605/,"Fenyang, Shanxi, China","[37.2683004, 111.7830029]"
My Heart Beats Only for Her,Mohamed Soueid,2009,7,Rasha Salti,Independent curator/film programmer,Lebanon,/name/nm12496991/,,"[46.3144754, 11.0480288]"
Arabian Nights: Volume 1 – The Restless One,Miguel Gomes,2015,8,Rasha Salti,Independent curator/film programmer,Lebanon,/name/nm0326937/,"Lisbon, Portugal","[38.7077507, -9.1365919]"
Nostalgia for the Light,Patricio Guzmán,2010,9,Rasha Salti,Independent curator/film programmer,Lebanon,/name/nm0350099/,"Santiago, Chile","[-33.4377756, -70.6504502]"
"I Travel Because I Have To, I Come Back Because I Love You",Karim Aïnouz and Marcelo Gomes,2009,10,Rasha Salti,Independent curator/film programmer,Lebanon,,,"[46.3144754, 11.0480288]"
Werckmeister Harmonies,Béla Tarr and Ágnes Hranitzky,2000,1,Eric Sasono,Freelance film critic,Indonesia,,,"[46.3144754, 11.0480288]"
Leviathan,Lucien Castaing-Taylor and Verena Paravel,2012,2,Eric Sasono,Freelance film critic,Indonesia,,,"[46.3144754, 11.0480288]"
The Gleaners and I,Agnès Varda,2000,3,Eric Sasono,Freelance film critic,Indonesia,/name/nm0889513/,"Ixelles, Belgium","[50.8331141, 4.3668279]"
The Great Beauty,Paolo Sorrentino,2013,4,Eric Sasono,Freelance film critic,Indonesia,/name/nm0815204/,"Naples, Campania, Italy","[40.8359336, 14.2487826]"
The Act of Killing,Joshua Oppenheimer,2012,5,Eric Sasono,Freelance film critic,Indonesia,/name/nm1484791/,"Texas, USA","[31.168570000000003, -99.68300099546674]"
"Norte, the End of History",Lav Diaz,2013,6,Eric Sasono,Freelance film critic,Indonesia,/name/nm0225010/,"Datu Paglas, Maguindanao, Mindanao, Philippines","[6.7459219, 124.8702611]"
Caché,Michael Haneke,2005,7,Eric Sasono,Freelance film critic,Indonesia,/name/nm0359734/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
Nostalgia for the Light,Patricio Guzmán,2010,8,Eric Sasono,Freelance film critic,Indonesia,/name/nm0350099/,"Santiago, Chile","[-33.4377756, -70.6504502]"
Spirited Away,Hayao Miyazaki,2001,9,Eric Sasono,Freelance film critic,Indonesia,/name/nm0594503/,"Tokyo, Japan","[35.6828387, 139.7594549]"
A Separation,Asghar Farhadi,2011,10,Eric Sasono,Freelance film critic,Indonesia,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran","[32.6938201, 51.5254892]"
The New World,Terrence Malick,2005,1,Nick Schager,Variety,US,/name/nm0000517/,"Ottawa, Illinois, USA","[41.3516628, -88.845436]"
Mulholland Drive,David Lynch,2001,2,Nick Schager,Variety,US,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
Zodiac,David Fincher,2007,3,Nick Schager,Variety,US,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
There Will Be Blood,Paul Thomas Anderson,2007,4,Nick Schager,Variety,US,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
In the Mood for Love,Wong Kar-wai,2000,5,Nick Schager,Variety,US,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
Three Times,Hou Hsiao-hsien,2005,6,Nick Schager,Variety,US,/name/nm0396284/,"Meixian, Guangdong, China","[24.4146228, 116.2342558]"
The Tree of Life,Terrence Malick,2011,7,Nick Schager,Variety,US,/name/nm0000517/,"Ottawa, Illinois, USA","[41.3516628, -88.845436]"
The Act of Killing,Joshua Oppenheimer,2012,8,Nick Schager,Variety,US,/name/nm1484791/,"Texas, USA","[31.168570000000003, -99.68300099546674]"
"Synecdoche, New York",Charlie Kaufman,2008,9,Nick Schager,Variety,US,/name/nm0442109/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Pulse,Kiyoshi Kurosawa,2001,10,Nick Schager,Variety,US,/name/nm0475905/,"Kobe, Japan","[34.6932379, 135.1943764]"
In the Mood for Love,Wong Kar-wai,2000,1,Missy Schwartz,Freelance film critic,US,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
Zero Dark Thirty,Kathryn Bigelow,2012,2,Missy Schwartz,Freelance film critic,US,/name/nm0000941/,"San Carlos, California, USA","[37.504936, -122.261823]"
Inside Out,Pete Docter,2015,3,Missy Schwartz,Freelance film critic,US,/name/nm0230032/,"Bloomington, Minnesota, USA","[44.8322405, -93.3204872]"
Brokeback Mountain,Ang Lee,2005,4,Missy Schwartz,Freelance film critic,US,/name/nm0000487/,"Pingtung, Taiwan","[22.6828017, 120.487928]"
The Departed,Martin Scorsese,2006,5,Missy Schwartz,Freelance film critic,US,/name/nm0000217/,"Queens, New York City, New York, USA","[40.7135078, -73.8283132]"
12 Years a Slave,Steve McQueen,2013,6,Missy Schwartz,Freelance film critic,US,/name/nm0000537/,"Beech Grove, Indiana, USA","[39.7221906, -86.0894158]"
Talk to Her,Pedro Almodóvar,2002,7,Missy Schwartz,Freelance film critic,US,/name/nm0000264/,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain","[38.7043087, -3.7766972]"
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,8,Missy Schwartz,Freelance film critic,US,/name/nm0000487/,"Pingtung, Taiwan","[22.6828017, 120.487928]"
No Country For Old Men,Joel and Ethan Coen,2007,9,Missy Schwartz,Freelance film critic,US,,,"[46.3144754, 11.0480288]"
Beginners,Mike Mills,2010,10,Missy Schwartz,Freelance film critic,US,/name/nm0590122/,"Berkeley, California, USA","[37.8753497, -122.23963364918777]"
Gett: The Trial of Viviane Amselem,Ronit Elkabetz and Shlomi Elkabetz,2014,1,Matt Zoller Seitz,New York Magazine,US,,,"[46.3144754, 11.0480288]"
The Act of Killing,Joshua Oppenheimer,2012,2,Matt Zoller Seitz,New York Magazine,US,/name/nm1484791/,"Texas, USA","[31.168570000000003, -99.68300099546674]"
The Look of Silence,Joshua Oppenheimer,2014,3,Matt Zoller Seitz,New York Magazine,US,/name/nm1484791/,"Texas, USA","[31.168570000000003, -99.68300099546674]"
The Tree of Life,Terrence Malick,2011,4,Matt Zoller Seitz,New York Magazine,US,/name/nm0000517/,"Ottawa, Illinois, USA","[41.3516628, -88.845436]"
Knight of Cups,Terrence Malick,2015,5,Matt Zoller Seitz,New York Magazine,US,/name/nm0000517/,"Ottawa, Illinois, USA","[41.3516628, -88.845436]"
Inherent Vice,Paul Thomas Anderson,2014,6,Matt Zoller Seitz,New York Magazine,US,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
The Grand Budapest Hotel,Wes Anderson,2014,7,Matt Zoller Seitz,New York Magazine,US,/name/nm0027572/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
A Separation,Asghar Farhadi,2011,8,Matt Zoller Seitz,New York Magazine,US,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran","[32.6938201, 51.5254892]"
Godzilla,Gareth Edwards,2014,9,Matt Zoller Seitz,New York Magazine,US,/name/nm2284484/,"Nuneaton, Warwickshire, England, UK","[52.5246182, -1.4684488]"
Under the Skin,Jonathan Glazer,2013,10,Matt Zoller Seitz,New York Magazine,US,/name/nm0322242/,"London, England, UK","[51.5073219, -0.1276474]"
No,Pablo Larraín,2012,1,Avner Shavit,Walla,Israel,/name/nm1883257/,"Santiago, Chile","[-33.4377756, -70.6504502]"
Persepolis,Vincent Paronnaud and Marjane Satrapi,2007,2,Avner Shavit,Walla,Israel,,,"[46.3144754, 11.0480288]"
Boyhood,Richard Linklater,2014,3,Avner Shavit,Walla,Israel,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Mulholland Drive,David Lynch,2001,4,Avner Shavit,Walla,Israel,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
The Hurt Locker,Kathryn Bigelow,2008,5,Avner Shavit,Walla,Israel,/name/nm0000941/,"San Carlos, California, USA","[37.504936, -122.261823]"
Girlhood,Céline Sciamma,2014,6,Avner Shavit,Walla,Israel,/name/nm1780037/,"Pontoise, Val-d'Oise, France","[49.0508845, 2.1008067]"
Eden,Mia Hansen-Løve,2014,7,Avner Shavit,Walla,Israel,/name/nm0361135/,"Paris, France","[48.8588897, 2.3200410217200766]"
A Touch of Sin,Jia Zhangke,2013,8,Avner Shavit,Walla,Israel,/name/nm0422605/,"Fenyang, Shanxi, China","[37.2683004, 111.7830029]"
24 Hour Party People,Michael Winterbottom,2002,9,Avner Shavit,Walla,Israel,/name/nm0935863/,"Blackburn, Lancashire, England, UK","[53.64571545, -2.6380778905897326]"
Toni Erdmann,Maren Ade,2016,10,Avner Shavit,Walla,Israel,/name/nm0011752/,"Karlsruhe, Baden-Württemberg, Germany","[49.0068705, 8.4034195]"
There Will Be Blood,Paul Thomas Anderson,2007,1,Catherine Shoard,The Guardian,UK,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
12 Years a Slave,Steve McQueen,2013,2,Catherine Shoard,The Guardian,UK,/name/nm0000537/,"Beech Grove, Indiana, USA","[39.7221906, -86.0894158]"
Under the Skin,Jonathan Glazer,2013,3,Catherine Shoard,The Guardian,UK,/name/nm0322242/,"London, England, UK","[51.5073219, -0.1276474]"
Leviathan,Andrey Zvyagintsev,2014,4,Catherine Shoard,The Guardian,UK,/name/nm1168657/,"Novosibirsk, Novosibirskaya oblast, Russia","[54.8053593, 83.0887559]"
The Great Beauty,Paolo Sorrentino,2013,5,Catherine Shoard,The Guardian,UK,/name/nm0815204/,"Naples, Campania, Italy","[40.8359336, 14.2487826]"
Nebraska,Alexander Payne,2013,6,Catherine Shoard,The Guardian,UK,/name/nm0668247/,"Omaha, Nebraska, USA","[41.2587459, -95.9383758]"
